"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.666074762346564,0.675801091698525,0.697105099432485,50000,0.95,0.411154712711914,0.907576493834278,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.363985934582625,0.354685974670096,0.326167708332064,50000,0.95,0.10811848242983,0.634628309567253,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",0.302088827763939,0.311148932689658,0.34679115655744,50000,0.95,-0.0751904792484884,0.66068670193761,0,93.508,NA,NA,NA,NA,NA
